Project_Key,Project_Name,Department,Classification_Method,Baseline_Year,Baseline_Start_Date,Baseline_End_Date,Planned_Duration_Days,Baseline_IPA_RAG,Baseline_WLC_GBPm,Baseline_FY_Cost_GBPm,Latest_Year,Latest_End_Date,Latest_IPA_RAG,N_Years_Observed,Slippage_Days,Delayed,Label_Method
flood and coastal erosion risk management,FLOOD AND COASTAL EROSION RISK MANAGEMENT,DEFRA,Official Category,2024,2020-04-01,2026-03-31,2190.0,Amber,4613.0,1022.0,2024,2026-03-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
flood and coastal erosion risk management 6-year capital programme,Flood and Coastal Erosion Risk Management 6-year Capital Programme,DEFRA,Official Category,2020,2020-04-01,2027-03-31,2555.0,Amber,5664.0,854.0,2020,2027-03-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
freeports,Freeports,DLUHC,Official Category,2020,2019-02-08,2027-12-31,3248.0,Amber,229.0,38.04,2024,2027-12-31,Amber,4,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
further electrification of midland main line (mml3),Further Electrification of Midland Main Line (MML3),DFT,Official Category,2020,2022-01-21,2032-12-31,3997.0,Amber,1468.0,108.0,2023,2030-12-31,Amber,3,-731.0,0.0,Schedule Slippage (>=2 valid annual observations)
future defence infrastucture services (fdis),Future Defence Infrastucture Services (FDIS),MOD,Official Category,2022,2016-06-07,2023-05-31,2549.0,Unknown,43.0,43.0,2022,2023-05-31,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
geological disposal facility,GEOLOGICAL DISPOSAL FACILITY,DESNZ,Official Category,2024,2008-06-30,2050-03-31,15249.0,Red,20300.0,83.33,2024,2050-03-31,Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
great british nuclear,GREAT BRITISH NUCLEAR,DESNZ,Official Category,2020,2023-07-01,2029-12-21,2365.0,Unknown,43.0,43.0,2020,2029-12-21,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
geological disposal facility programme (gdf),Geological Disposal Facility Programme (GDF),DECC,"Keyword Match (pre-2018, no Category field)",2013,2008-06-30,2040-12-31,11872.0,Unknown,11626.4,,2023,2050-03-31,Amber,10,3377.0,1.0,Schedule Slippage (>=2 valid annual observations)
glen parva new build prison,Glen Parva New Build Prison,MOJ,Official Category,2021,2019-01-31,2023-11-05,1739.0,Amber/Green,6775.73,91.42,2023,2023-11-05,Amber,3,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
great western route modernisation,Great Western Route Modernisation,DFT,Official Category,2018,2011-12-01,2024-12-31,4779.0,Amber/Red,5001.0,655.0,2018,2024-12-31,Amber/Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
great western route modernisation (gwrm) including electrification,Great Western Route Modernisation (GWRM) including electrification,DFT,Official Category,2021,2011-12-01,2024-12-31,4779.0,Green,5153.0,176.4,2021,2024-12-31,Green,1,,0.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
green heat network fund,Green Heat Network Fund,DESNZ,Official Category,2020,2022-03-07,2028-06-30,2307.0,Unknown,43.0,94.0,2023,2025-03-30,Unknown,2,-1188.0,0.0,Schedule Slippage (>=2 valid annual observations)
grenfell site and programme,Grenfell Site and Programme,DLUHC,Official Category,2020,2019-07-15,2030-01-31,3853.0,Unknown,290.0,22.31,2024,2031-03-31,Unknown,5,424.0,1.0,Schedule Slippage (>=2 valid annual observations)
hmp five wells new prison,HMP Five Wells New Prison,MOJ,Official Category,2022,2018-08-17,2022-07-31,1444.0,Green,5536.0,34.7,2022,2022-07-31,Green,1,,0.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
ho_0016_1213-q1,HO_0016_1213-Q1,HO,Official Category,2019,2011-06-01,2022-12-31,4231.0,Amber/Red,9521.92,817.0,2019,2022-12-31,Amber/Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
hs2 phase i,HS2 PHASE I,DFT,Official Category,2024,2009-01-14,,,Red,,4488.4,2024,,Red,1,,1.0,RAG Proxy (no valid End_Date in any year)
hs2 phase 1,HS2 Phase 1,DFT,Official Category,2022,2009-01-14,2030-06-30,7837.0,Amber,40295.0,5060.1,2022,2030-06-30,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
hs2 phase 2a,HS2 Phase 2a,DFT,Official Category,2022,2014-03-17,,,Green,22.0,363.9,2023,,Red,2,,1.0,RAG Proxy (no valid End_Date in any year)
